model_family,model_name,parameters,cv_folds,cv_shuffle,test_size,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,fit_time_mean,score_time_mean,cv_test_accuracy_mean,cv_test_accuracy_std,cv_train_accuracy_mean,cv_train_accuracy_std,cv_test_f1_weighted_mean,cv_test_f1_weighted_std,cv_train_f1_weighted_mean,cv_train_f1_weighted_std
KNN,KNN_k_9,{'k': 9},5,False,0.25,0.9736842105263158,0.9755639097744361,0.9736842105263158,0.9736452241715401,0.001821279525756836,0.002622556686401367,0.9549407114624506,0.04066346608572866,0.9709612983770286,0.009027382708723775,0.954778373800113,0.0408473889941932,0.9709458113530554,0.009028918459463397
SVM,SVM_kernel_linear_C_1.0,"{'kernel': 'linear', 'C': 1.0}",5,False,0.25,0.9736842105263158,0.9755639097744361,0.9736842105263158,0.9736452241715399,0.0022074222564697266,0.0014959812164306641,0.9458498023715414,0.053082282890749545,0.9731585518102372,0.011532229247676317,0.9451093663369878,0.054237158149250564,0.973157273569097,0.011530485836622686
SVM,SVM_kernel_linear_C_10.0,"{'kernel': 'linear', 'C': 10.0}",5,False,0.25,0.9736842105263158,0.9755639097744361,0.9736842105263158,0.9736452241715399,0.001999568939208984,0.0014023780822753906,0.9458498023715414,0.053082282890749545,0.9821473158551811,0.011336490161015829,0.9451093663369878,0.054237158149250564,0.9821421885283602,0.011340973819031
SVM,SVM_kernel_rbf_C_10.0,"{'kernel': 'rbf', 'C': 10.0}",5,False,0.25,0.9736842105263158,0.9755639097744361,0.9736842105263158,0.9736452241715399,0.0018454551696777343,0.001847982406616211,0.9549407114624506,0.04066346608572866,0.9798751560549313,0.013043987890872391,0.954778373800113,0.0408473889941932,0.9798706607892648,0.013047600951225608
SVM,SVM_kernel_rbf_C_1.0,"{'kernel': 'rbf', 'C': 1.0}",5,False,0.25,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.0014166831970214844,0.001955890655517578,0.9549407114624506,0.04066346608572866,0.9754057428214733,0.013061326037031577,0.954778373800113,0.0408473889941932,0.9754018650112727,0.013064033821119056
KNN,KNN_k_7,{'k': 7},5,False,0.25,0.9473684210526315,0.9543859649122807,0.9473684210526315,0.9470551378446114,0.0021166324615478514,0.002595376968383789,0.9549407114624506,0.04066346608572866,0.9709612983770288,0.008965360015601796,0.954778373800113,0.0408473889941932,0.9709258293122233,0.0089818990586306
SVM,SVM_kernel_poly_C_10.0,"{'kernel': 'poly', 'C': 10.0}",5,False,0.25,0.9473684210526315,0.9543859649122807,0.9473684210526315,0.9470551378446114,0.0018112659454345703,0.0017291545867919923,0.9284584980237154,0.03629913509539561,0.9865917602996255,0.004532093140687479,0.9274338917689302,0.037597070561521555,0.98658208345155,0.0045466938703621
SVM,SVM_kernel_linear_C_0.1,"{'kernel': 'linear', 'C': 0.1}",5,False,0.25,0.9210526315789473,0.9226190476190477,0.9210526315789473,0.9209356725146198,0.0024987220764160155,0.0016354084014892577,0.9644268774703557,0.03381699547226473,0.9754556803995007,0.008356005853114192,0.9644268774703557,0.03381699547226473,0.9754430119428068,0.008356120716481638
DecisionTree,DecisionTree_depth_2,{'max_depth': 2},5,False,0.25,0.9210526315789473,0.9226190476190477,0.9210526315789473,0.9209356725146198,0.0012371063232421875,0.0017287254333496094,0.9284584980237154,0.022162602006128393,0.9709862671660424,0.00889029151918002,0.9280621871734404,0.022315147474682776,0.9709298830721476,0.008975958298780938
KNN,KNN_k_3,{'k': 3},5,False,0.25,0.9210526315789473,0.9358552631578947,0.9210526315789473,0.9199873747336859,0.0028844356536865236,0.00276336669921875,0.9458498023715414,0.03412969667181488,0.9709612983770286,0.009027382708723775,0.9456051940386979,0.03428477625585026,0.9709432105201937,0.009052836843933706
KNN,KNN_k_5,{'k': 5},5,False,0.25,0.9210526315789473,0.9358552631578947,0.9210526315789473,0.9199873747336859,0.001981353759765625,0.002741098403930664,0.9462450592885375,0.0342393799647553,0.9731585518102372,0.015296720571434743,0.9460827216261999,0.03441661793691804,0.9731489170593539,0.015307710993579655
DecisionTree,DecisionTree_depth_3,{'max_depth': 3},5,False,0.25,0.8947368421052632,0.9004784688995215,0.8947368421052632,0.894110275689223,0.0010365009307861327,0.0015089035034179688,0.9375494071146244,0.036000940827622785,0.9754556803995007,0.012984154416674347,0.9372317899491813,0.03623630079092548,0.9754266069481241,0.013007878467424667
DecisionTree,DecisionTree_depth_5,{'max_depth': 5},5,False,0.25,0.8947368421052632,0.9004784688995215,0.8947368421052632,0.894110275689223,0.0015254020690917969,0.0013025283813476562,0.9292490118577075,0.04444487840907701,0.9977777777777778,0.004444444444444429,0.9285407686942214,0.04540809321162496,0.9977777777777778,0.004444444444444429
DecisionTree,DecisionTree_depth_None,{'max_depth': None},5,False,0.25,0.8947368421052632,0.9004784688995215,0.8947368421052632,0.894110275689223,0.0012001991271972656,0.0016020774841308595,0.9292490118577075,0.04444487840907701,1.0,0.0,0.9285407686942214,0.04540809321162496,1.0,0.0
SVM,SVM_kernel_poly_C_1.0,"{'kernel': 'poly', 'C': 1.0}",5,False,0.25,0.8947368421052632,0.9195046439628483,0.8947368421052632,0.8921850079744817,0.0015201568603515625,0.0020416736602783202,0.9106719367588931,0.028813117736929014,0.928514357053683,0.011749029113090205,0.9085437360954682,0.03097415754078871,0.9275613032756771,0.012313238052728109
SVM,SVM_kernel_rbf_C_0.1,"{'kernel': 'rbf', 'C': 0.1}",5,False,0.25,0.868421052631579,0.8696741854636593,0.868421052631579,0.8682261208576998,0.00233917236328125,0.001618337631225586,0.8845849802371542,0.08291544311673367,0.9039700374531835,0.011768593124658258,0.8823150576463759,0.08585849505212413,0.9032194129562912,0.012312531308505209
SVM,SVM_kernel_poly_C_0.1,"{'kernel': 'poly', 'C': 0.1}",5,False,0.25,0.7894736842105263,0.8696741854636593,0.7894736842105263,0.7674578603371173,0.0022400856018066407,0.0011816024780273438,0.8043478260869567,0.05811755344098909,0.8325343320848939,0.010838755458535427,0.7814087590517798,0.07085745246276225,0.8207747905833058,0.013801626911292273
