[2026-08-07 10:13:52] [INFO] ============================================
[2026-08-07 10:13:52] [INFO] Script started.
[2026-08-07 10:13:52] [INFO] Script name: 08_round_edges.py
[2026-08-07 10:13:52] [INFO] Project: AIML-Driven Super-Resolution and Volumetric Reconstruction for Mixing Tanks
[2026-08-07 10:13:52] [INFO] Script folder: C:\AI_ML_Fellowship\Project2\Scripts
[2026-08-07 10:13:52] [INFO] Source folder: C:\AI_ML_Fellowship\Project2\Images\04_Transparent
[2026-08-07 10:13:52] [INFO] Output folder: C:\AI_ML_Fellowship\Project2\Images\05_Final_Rounded
[2026-08-07 10:13:52] [INFO] Alpha cutoff: 128
[2026-08-07 10:13:52] [INFO] Supersample factor: 4
[2026-08-07 10:13:52] [INFO] Logs folder: C:\AI_ML_Fellowship\Project2\Scripts\Logs
[2026-08-07 10:13:52] [INFO] Log file: C:\AI_ML_Fellowship\Project2\Scripts\Logs\08_round_edges.log
[2026-08-07 10:13:52] [INFO] Found 155 PNG file(s) in C:\AI_ML_Fellowship\Project2\Images\04_Transparent.
[2026-08-07 10:13:54] [INFO] Processed: frame_0001.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0001.png
[2026-08-07 10:13:56] [INFO] Processed: frame_0002.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0002.png
[2026-08-07 10:13:58] [INFO] Processed: frame_0003.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0003.png
[2026-08-07 10:14:00] [INFO] Processed: frame_0004.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0004.png
[2026-08-07 10:14:01] [INFO] Processed: frame_0005.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0005.png
[2026-08-07 10:14:03] [INFO] Processed: frame_0006.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0006.png
[2026-08-07 10:14:05] [INFO] Processed: frame_0007.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0007.png
[2026-08-07 10:14:06] [INFO] Processed: frame_0008.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0008.png
[2026-08-07 10:14:08] [INFO] Processed: frame_0009.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0009.png
[2026-08-07 10:14:10] [INFO] Processed: frame_0010.png (8 blob(s) rounded) -> C:\AI_ML_Fellowship\Project2\Scripts\..\Images\05_Final_Rounded\frame_0010.png
